,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Angptl3,log2FC_Angptl3_vs_NT
Fam83f,4.340108045,1.20166596,4.28319483,0.000824842,0.053659834,-0.382462866,0.111511857,2.258519042,4.340108045
Hotairm1|Hotairm2,3.980966788,0.435645415,2.910222917,0.01179887,0.161217533,-2.88282354,0.040552367,0.6403341,3.980966788
1700048O20Rik,3.651851264,0.629898867,4.291057182,0.000812658,0.053630183,-0.368420557,0.0776663,0.9762238,3.651851264
Gm7027,3.592294566,0.373241331,2.88331728,0.012433164,0.165935691,-2.9313939,0.046339433,0.55890648,3.592294566
Cfd,3.341980386,0.847064842,0.792100776,0.442035165,0.752626425,-5.929559862,0.129971533,1.31790646,3.341980386
Spata45,3.326272521,0.55776997,2.902883802,0.011968655,0.163188008,-2.896080537,0.0821466,0.82394344,3.326272521
Gm5741,3.204723809,0.831831007,3.281687805,0.005711813,0.115730375,-2.205891223,0.126726133,1.16838018,3.204723809
Gm22378,3.135056938,1.294829044,3.072436639,0.00859859,0.14178066,-2.58842599,0.359861,3.161411,3.135056938
Arrdc3,3.095435669,4.785991591,10.5028934,7.33E-08,0.000935183,7.892431486,6.733060333,57.5481666,3.095435669
Gm46495,2.976712987,0.449980422,2.173815037,0.048099312,0.307999708,-4.163766832,0.097623233,0.76848092,2.976712987
Obox4-ps3,2.952890648,1.937242388,5.799153994,5.38E-05,0.017376108,2.173235569,0.577493767,4.47152806,2.952890648
Mup10,2.92962069,0.62509002,1.497884429,0.157237767,0.503668614,-5.176097328,0.190381697,1.450537292,2.92962069
Mir1932,2.89211616,1.585294056,1.82690276,0.089960666,0.400379529,-4.710654817,0.58357,4.3321818,2.89211616
Mup15,2.811898092,0.864668865,1.766514738,0.099959175,0.418578737,-4.800418331,0.615085133,4.319176,2.811898092
Vmn1r90,2.794839318,0.610209285,3.280738303,0.005722427,0.115730375,-2.207631414,0.12377624,0.858949748,2.794839318
4933417D19Rik,2.756164941,1.297444148,6.641528893,1.35E-05,0.010170397,3.439121796,0.373029733,2.52018122,2.756164941
A930024E05Rik,2.732637114,0.472657721,4.617571521,0.000440646,0.042927628,0.208599916,0.106194367,0.705841552,2.732637114
H1f4,2.714467867,0.693610109,3.210191252,0.006568856,0.124127503,-2.336837629,0.153073573,1.004700164,2.714467867
Rpsa-ps2,2.670183187,0.346378491,1.799906764,0.094314416,0.410798831,-4.751004854,0.0596833,0.37989018,2.670183187
Cldn20,2.62836448,0.586550414,3.363578935,0.00486688,0.107831807,-2.055721367,0.123501167,0.76363814,2.62836448
Obox4-ps2,2.574857857,1.805375541,3.420579182,0.004353996,0.103861107,-1.951131566,0.7413227,4.41689168,2.574857857
Spatc1l,2.56038693,0.949657934,4.531715684,0.000516986,0.046799837,0.058097218,0.3030914,1.78783272,2.56038693
Gm23111,2.540450475,0.936567924,2.076391553,0.057529438,0.333471067,-4.322220686,0.380424667,2.213199,2.540450475
Dlec1,2.524994494,0.558092236,2.080862151,0.057061592,0.332368798,-4.315025945,0.130395233,0.75051746,2.524994494
Mtnr1a,2.516792178,1.025913299,3.685323215,0.0025995,0.082937042,-1.465658624,0.295799063,1.692882182,2.516792178
Cyp2d36-ps,2.500532268,3.701910294,5.061953916,0.000195535,0.030630684,0.971890625,4.397391,24.8845792,2.500532268
Rps15a-ps7,2.482224782,0.534012643,2.188305156,0.046826715,0.304209765,-4.139912134,0.101899467,0.5693719,2.482224782
Gm17936,2.478020579,0.854576792,3.997875786,0.001421266,0.065011443,-0.89604737,0.250784867,1.3972041,2.478020579
Gm11266,2.434639236,1.472482176,4.809475393,0.000309302,0.037487936,0.541562014,0.528545933,2.85747326,2.434639236
