,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Pcsk9,log2FC_Pcsk9_vs_NT
Cfd,4.74877485,0.847064842,1.5332543,0.148369942,0.488014743,-4.933568895,0.129971533,3.49439438,4.74877485
Fam83f,4.047496783,1.20166596,3.7094394,0.0024806,0.176857094,-1.344673689,0.111511857,1.8439069,4.047496783
Mir6392,3.869598952,0.931111948,2.095133171,0.055591608,0.359786477,-4.118441653,0.3698573,5.40629266,3.869598952
Hotairm1|Hotairm2,3.169511042,0.435645415,1.835816163,0.088563205,0.412578578,-4.512790214,0.040552367,0.3648666,3.169511042
Gm5741,3.109223099,0.831831007,3.030914894,0.009324839,0.240897959,-2.540717421,0.126726133,1.09354234,3.109223099
4930502E09Rik,2.93183816,0.509890505,4.264895903,0.000853932,0.122140618,-0.381969205,0.105813467,0.80744356,2.93183816
1700048O20Rik,2.860689608,0.629898867,2.493119352,0.026389854,0.301174079,-3.469076433,0.0776663,0.56413884,2.860689608
Obox4-ps3,2.819689641,1.937242388,5.696973853,6.41E-05,0.038937276,1.912672142,0.577493767,4.07716664,2.819689641
Angptl8,2.819246664,7.693332985,6.618048673,1.40E-05,0.022279723,3.209106142,56.94739,401.931122,2.819246664
Snord3b-ps2,2.767751862,0.528397052,2.824254881,0.013945531,0.261100619,-2.901882548,0.194234467,1.32282572,2.767751862
Rps15a-ps7,2.694816317,0.534012643,2.35113156,0.034541988,0.320379751,-3.705738343,0.101899467,0.65976984,2.694816317
Mir7085,2.684024748,3.358395501,4.700737837,0.000377778,0.098959878,0.34922491,2.826566,18.1648196,2.684024748
Igkv6-17,2.670982271,1.560515506,0.884919925,0.391729719,0.710440953,-5.64070825,1.349497,8.5944424,2.670982271
Mir1932,2.65593083,1.585294056,1.888031289,0.08076169,0.401314689,-4.435626531,0.58357,3.6779668,2.65593083
Spata45,2.650818215,0.55776997,2.020484518,0.063687131,0.374205879,-4.234697259,0.0821466,0.51589984,2.650818215
Rpsa-ps2,2.57308726,0.346378491,1.733479983,0.105836704,0.437257368,-4.660360128,0.0596833,0.35516428,2.57308726
Gm7027,2.539368005,0.373241331,1.246872431,0.23370004,0.586179228,-5.282868024,0.046339433,0.26938702,2.539368005
Nkx2-6,2.46684008,1.307775183,3.42309907,0.004332621,0.198182476,-1.849093451,0.421648433,2.33100578,2.46684008
H4c12,2.466030392,1.684401011,1.773224996,0.098801295,0.42727961,-4.603643088,0.783757333,4.33042714,2.466030392
Mir6905,2.453597717,1.151590645,0.934245289,0.366631039,0.69172995,-5.598050822,0.570637,3.1258378,2.453597717
Gm25134,2.42347564,0.781923495,1.401519093,0.18368812,0.531932785,-5.100785248,0.249653667,1.33929674,2.42347564
Gm22378,2.381426018,1.294829044,1.493475429,0.158373962,0.50194576,-4.985172343,0.359861,1.8750612,2.381426018
Osbpl3,2.377039181,0.756999864,2.429163187,0.029803619,0.311157347,-3.576266702,0.278452837,1.446477698,2.377039181
Upk3b,2.267768104,0.509328446,2.300962543,0.037957897,0.323082346,-3.788150676,0.13390699,0.64486599,2.267768104
Msln,2.263461903,0.65078552,2.371560134,0.033236455,0.316429974,-3.67198982,0.173911567,0.83502292,2.263461903
Vmn1r90,2.219687044,0.610209285,2.143014186,0.050912513,0.352217159,-4.042825732,0.12377624,0.5765403,2.219687044
Obox4-ps2,2.208717195,1.805375541,2.502563571,0.025918713,0.300087524,-3.453171792,0.7413227,3.4268684,2.208717195
Cidea,2.20819148,0.42429392,1.276899944,0.223220768,0.575968472,-5.248781562,0.205899933,0.95145462,2.20819148
Cldn20,2.201990792,0.586550414,2.64141713,0.019861288,0.281633063,-3.217301568,0.123501167,0.56824594,2.201990792
H1f4,2.183308068,0.693610109,2.191986407,0.046508466,0.343882414,-3.964690951,0.153073573,0.69525071,2.183308068
Igfbp6,2.164839781,1.0939221,2.584899493,0.022140462,0.292920797,-3.313745209,0.392610733,1.76053182,2.164839781
Dlec1,2.14901622,0.558092236,1.628545341,0.126573525,0.460261046,-4.806250355,0.130395233,0.57833578,2.14901622
Arrdc3,2.117748883,4.785991591,7.226733572,5.47E-06,0.014045905,3.986876157,6.733060333,29.2225724,2.117748883
Gm9396,2.111222198,0.690909137,3.480406432,0.003874054,0.192376162,-1.747930986,0.258569267,1.11716704,2.111222198
Mogat1,2.060406149,0.560009989,2.139511171,0.051242004,0.352217159,-4.048384438,0.1801289,0.75132433,2.060406149
